GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
3.051468799999999870e+00,3.675276000000000209e+00,4.403691799999999823e+00,3.000000000000000000e+00,8.177999999999999714e-01,6.799997499999999029e-02,8.500074037499999235e+01,1.117654326969148987e-01,-4.250463667227191017e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.302741920076121052e-02
3.075706199999999946e+00,3.136424499999999949e+00,2.434296799999999816e+00,2.000000000000000000e+00,1.030666666666666620e+00,2.014615769230770348e-01,8.539831284615382856e+01,1.011416646010297599e-01,-3.108236670913689173e-02,2.000000000000000000e+00,1.041712116027109669e+00,1.255970699260554324e-01
5.600500099999999648e+00,2.327291699999999963e+00,3.330539900000000220e+00,1.000000000000000000e+00,3.738235294117647212e-01,4.579997714285707205e-02,7.209082046285713830e+01,7.651803805388189550e-02,-4.231807927573449229e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.634378435414888239e-02
7.672327000000000119e+00,1.225398200000000104e+00,3.609068600000000071e+00,3.000000000000000000e+00,3.366315789473683928e-01,6.802565128205127765e-02,4.933454179487178948e+01,3.073635771546598741e-02,-3.939889903512196895e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.016154066714362758e-02
3.582507099999999944e+00,3.872998500000000011e+00,1.208852899999999897e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.192793500000000062e+00,8.868808200000000141e-01,2.099568800000000124e+00,2.000000000000000000e+00,9.843333333333332824e-01,3.906153769230767958e-01,7.171747473076923995e+01,3.347384600635943536e-02,-1.085591692707784522e-02,1.000000000000000000e+00,0.000000000000000000e+00,2.278163772718824476e-01
5.592444900000000274e+00,2.347952400000000051e+00,1.212652999999999981e+00,1.000000000000000000e+00,1.862058823529411655e-01,5.127535507246376578e-02,7.562634294202898388e+01,8.862819697874932401e-02,-3.314422285778948624e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.781094506275989808e-02
9.123851800000000623e+00,2.698143200000000075e+00,3.601936799999999828e+00,1.000000000000000000e+00,3.602571428571428314e-01,3.486109444444434463e-02,6.951139031944445890e+01,8.385551374514473022e-02,-5.926771559014730462e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.038560194999364250e-02
4.735174699999999959e+00,1.035457099999999908e+00,2.506421800000000033e+00,3.000000000000000000e+00,2.937209302325581306e-01,7.447730909090909124e-02,5.290474424318183111e+01,3.459508526351297991e-02,-3.114126587347981409e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.203355000813029790e-02
3.039984200000000136e+00,4.771068999999999782e+00,2.079269599999999940e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.730502100000000709e+00,2.169181099999999862e+00,2.830307499999999976e+00,1.000000000000000000e+00,2.663750000000000284e-01,3.785717346938778649e-02,6.426894592510203097e+01,6.851975303897336889e-02,-5.715049089190167575e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.206949234389398926e-02
3.680332200000000054e+00,6.144025899999999707e-01,4.487637000000000320e+00,3.000000000000000000e+00,4.994000000000000661e-01,1.631153846153844678e-01,3.140892730769230212e+01,1.248766767721578956e-02,-1.637899954615391548e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.504235056867289810e-02
1.349722599999999995e+00,5.996119399999999544e-01,1.205119999999999969e+00,2.000000000000000000e+00,1.224444444444444446e+00,7.039999799999998586e-01,3.999489372000000742e+01,2.400943956726285175e-02,-1.204425258148956145e-02,4.000000000000000000e+00,2.335831334957437999e+00,4.577726424616438416e-01
8.156188999999999467e+00,2.921803299999999881e-01,3.816307999999999812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
