GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
1.670682800000000023e+00,2.230639000000000038e+00,3.192410499999999818e+00,3.000000000000000000e+00,8.439230692307693182e-01,1.412000533333333807e-01,9.997924332407920334e-01,7.391436325519754047e-02,-2.301723134208135887e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.115894300000000783e+00,1.516799100000000067e+00,4.173155300000000345e+00,1.000000000000000000e+00,3.749697000000000169e-01,5.302849142857180009e-02,9.994786394062624701e-01,4.005088306040936741e-02,-4.652226118523169335e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.622879000000000183e+00,1.934542999999999957e-01,2.182500399999999896e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.345736499999999225e+00,3.602953400000000084e+00,1.444148399999999999e+00,1.000000000000000000e+00,1.648701285714285758e-01,3.459490759493679540e-02,9.981783772841560376e-01,1.241472650950351808e-01,-5.255281408118667175e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.854697199999999935e+00,4.962005600000000349e+00,4.540090600000000087e+00,3.000000000000000000e+00,9.930000090909090193e-01,6.000003076923087625e-02,9.996915596728926934e-01,1.416717093182572607e-01,-5.424945445771673508e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.540827999999999864e+00,4.244957399999999659e+00,3.574418500000000165e+00,3.000000000000000000e+00,1.198888888888888893e+00,1.481817727272728702e-01,9.996706193024871290e-01,1.269060152928048468e-01,-4.425643061024838593e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.012991899999999834e+00,3.242265499999999800e+00,2.265526499999999999e+00,2.000000000000000000e+00,4.506000000000000005e-01,1.199999888888888810e-01,9.849236889319195054e-01,1.040231804234131169e-01,-3.519765995745933324e-02,3.000000000000000000e+00,1.380721290606096163e+00
2.144092600000000015e+00,4.580854399999999771e+00,1.917245099999999924e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.538825000000000109e+00,2.979733899999999824e+00,3.607056100000000098e-01,1.000000000000000000e+00,1.141171162162162162e-01,1.652213539822993543e-02,9.985451246848909834e-01,1.244320405667982132e-01,-3.519042717929644210e-02,1.000000000000000000e+00,0.000000000000000000e+00
8.734176599999999624e+00,5.242236900000000199e-01,2.101160999999999834e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
