GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
1.578947399999999890e+00,1.578947399999999890e+00,1.578947399999999890e+00,2.000000000000000000e+00,5.525454590909091301e-01,3.928333666666666280e-01,9.993208410621600146e-01,5.630513239156830635e-02,-1.408830798195938490e-02,2.000000000000000000e+00,4.452884346581614805e-01
1.263157800000000108e+00,1.263157800000000108e+00,1.263157800000000108e+00,2.000000000000000000e+00,6.731249999999999734e-01,-4.443333944444445294e-01,9.833743344445635692e-01,4.630544989103282938e-02,-1.046419646930432136e-02,2.000000000000000000e+00,5.107219915465130988e-01
1.052631600000000001e+00,1.052631600000000001e+00,1.052631600000000001e+00,2.000000000000000000e+00,8.954999928571428791e-01,-5.268749687500000611e-01,9.409269661051891109e-01,3.947116840483849698e-02,-9.033196981600849496e-03,2.000000000000000000e+00,5.777807852315927084e-01
4.210526299999999833e-01,4.210526299999999833e-01,4.210526299999999833e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.684210500000000055e+00,1.684210500000000055e+00,1.684210500000000055e+00,2.000000000000000000e+00,5.351818181818180920e-01,3.509167083333331605e-01,9.998354936394865389e-01,5.942031044750799990e-02,-1.534636531246928205e-02,2.000000000000000000e+00,4.337789682985607742e-01
1.368421099999999946e+00,1.368421099999999946e+00,1.368421099999999946e+00,2.000000000000000000e+00,6.209444444444444100e-01,3.715003000000014627e-02,9.902092160672630872e-01,4.962153340872316187e-02,-1.147098645925872726e-02,2.000000000000000000e+00,4.836479355917377987e-01
1.473684200000000111e+00,1.473684200000000111e+00,1.473684200000000111e+00,2.000000000000000000e+00,5.847499950000000224e-01,4.533636999999999251e-01,9.900724468156298919e-01,5.295190534538452704e-02,-1.296619800735089242e-02,2.000000000000000000e+00,4.612763391314696482e-01
1.894736900000000057e+00,1.894736900000000057e+00,1.894736900000000057e+00,2.000000000000000000e+00,4.876153884615385126e-01,2.332142714285716512e-01,9.973014127062906908e-01,6.581906692647407353e-02,-1.701202288371834667e-02,2.000000000000000000e+00,4.319739249636868617e-01
5.263158100000000506e-01,5.263158100000000506e-01,5.263158100000000506e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.315789200000000436e-01,6.315789200000000436e-01,6.315789200000000436e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.473684399999999783e-01,9.473684399999999783e-01,9.473684399999999783e-01,2.000000000000000000e+00,7.932142785714286770e-01,-1.095000000000002915e-01,7.991588688816628760e-01,1.819657771304106220e-02,-7.892419926935029945e-03,2.000000000000000000e+00,3.082511656347821649e-01
1.052631599999999945e-01,1.052631599999999945e-01,1.052631599999999945e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.789473700000000056e+00,1.789473700000000056e+00,1.789473700000000056e+00,2.000000000000000000e+00,5.128750041666666482e-01,3.128460769230770877e-01,9.998098940252675426e-01,6.263808863018205386e-02,-1.609748813631148648e-02,2.000000000000000000e+00,4.292619675306081906e-01
7.368421000000000554e-01,7.368421000000000554e-01,7.368421000000000554e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.157894600000000218e-01,3.157894600000000218e-01,3.157894600000000218e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.157894699999999943e+00,1.157894699999999943e+00,1.157894699999999943e+00,2.000000000000000000e+00,7.498571428571427777e-01,-4.988124624999998313e-01,9.896001234183228190e-01,4.292123925925988431e-02,-9.625444479197033110e-03,2.000000000000000000e+00,5.420835936350796302e-01
2.105263199999999890e-01,2.105263199999999890e-01,2.105263199999999890e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,4.790769230769231224e-01,2.505714142857140003e-01,9.997816742700639248e-01,6.890127622325273316e-02,-1.897328698979514061e-02,2.000000000000000000e+00,4.424919601427154126e-01
8.421052700000000169e-01,8.421052700000000169e-01,8.421052700000000169e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
