GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH
1.578947399999999890e+00,1.578947399999999890e+00,1.578947399999999890e+00,2.000000000000000000e+00,5.525454590909091301e-01,3.928333666666666280e-01,9.993208410621600146e-01,5.630513239156830635e-02,-1.408830798195938490e-02,2.000000000000000000e+00,4.452884346581614805e-01
1.052631600000000001e+00,1.052631600000000001e+00,1.052631600000000001e+00,2.000000000000000000e+00,8.954999928571428791e-01,-5.268749687500000611e-01,9.409269661051891109e-01,3.947116840483849698e-02,-9.033196981600849496e-03,2.000000000000000000e+00,5.777807852315927084e-01
4.736842199999999892e+00,4.736842199999999892e+00,4.736842199999999892e+00,1.000000000000000000e+00,8.878333416666666089e-01,4.921422142857134752e-02,9.993508938396248320e-01,1.362497972512116962e-01,-5.684119558060428401e-02,1.000000000000000000e+00,0.000000000000000000e+00
4.473684300000000391e+00,4.473684300000000391e+00,4.473684300000000391e+00,1.000000000000000000e+00,8.134999928571428063e-01,5.318758125000008774e-02,9.993569040134453463e-01,1.315324810130131805e-01,-5.255837410799963499e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.842105300000000057e+00,1.842105300000000057e+00,1.842105300000000057e+00,2.000000000000000000e+00,4.977916666666666323e-01,2.915384461538462757e-01,9.998119297903091951e-01,6.423544923335317014e-02,-1.660876865904033911e-02,2.000000000000000000e+00,4.297545141213885422e-01
5.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000000e+00,4.946249999999999258e-01,1.046923384615381925e-01,9.986885417988247138e-01,3.723094811766373448e-03,-1.629678723794950393e-02,1.000000000000000000e+00,0.000000000000000000e+00
1.315789499999999945e+00,1.315789499999999945e+00,1.315789499999999945e+00,2.000000000000000000e+00,6.449999944444443356e-01,4.809999000000002300e-02,9.809579744503789112e-01,4.793594973880357241e-02,-1.087083336313470275e-02,2.000000000000000000e+00,4.959976385168093360e-01
4.210526500000000283e+00,4.210526500000000283e+00,4.210526500000000283e+00,1.000000000000000000e+00,7.597333400000000347e-01,5.641175294117644484e-02,9.994125157333464404e-01,1.260762645286304939e-01,-4.826738806917722779e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.631578900000000054e+00,2.631578900000000054e+00,2.631578900000000054e+00,2.000000000000000000e+00,4.134285678571428257e-01,1.457333799999999124e-01,9.997395209903797708e-01,8.682867852752659821e-02,-2.679208197412946343e-02,2.000000000000000000e+00,7.835142968225122795e-01
5.263158100000000506e-01,5.263158100000000506e-01,5.263158100000000506e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.105263200000000001e+00,2.105263200000000001e+00,2.105263200000000001e+00,2.000000000000000000e+00,4.810384653846154213e-01,2.385713928571428499e-01,9.998046569579912557e-01,7.189544001142349205e-02,-2.065788289245986190e-02,2.000000000000000000e+00,4.618220761255101836e-01
2.368421099999999946e+00,2.368421099999999946e+00,2.368421099999999946e+00,2.000000000000000000e+00,4.218214285714285694e-01,1.755333600000000549e-01,9.997564497295918784e-01,7.972984263023739915e-02,-2.166296652265463363e-02,2.000000000000000000e+00,5.640064374745459297e-01
3.157894799999999780e+00,3.157894799999999780e+00,3.157894799999999780e+00,2.000000000000000000e+00,6.703333333333333366e-01,6.100008500000009271e-02,9.990323733073296353e-01,1.014025551914999601e-01,-2.827997722573227790e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.421052700000000169e+00,3.421052700000000169e+00,3.421052700000000169e+00,2.000000000000000000e+00,6.663333388888887932e-01,7.395000499999999921e-02,9.995889592084740150e-01,1.079447596152294242e-01,-3.455005178460909127e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.894736799999999999e+00,2.894736799999999999e+00,2.894736799999999999e+00,2.000000000000000000e+00,4.308571464285714803e-01,1.357333333333333725e-01,9.996989190503547951e-01,9.384167638048959703e-02,-3.243151487948965628e-02,2.000000000000000000e+00,1.260753937360530985e+00
7.894736500000000268e-01,7.894736500000000268e-01,7.894736500000000268e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.684210499999999833e+00,3.684210499999999833e+00,3.684210499999999833e+00,2.000000000000000000e+00,6.865882294117646722e-01,6.615785789473684064e-02,9.995328360297598413e-01,1.141363952558817618e-01,-3.938271330047243141e-02,1.000000000000000000e+00,0.000000000000000000e+00
3.947368400000000221e+00,3.947368400000000221e+00,3.947368400000000221e+00,2.000000000000000000e+00,7.181874937499999056e-01,6.033332777777790368e-02,9.995052033272830982e-01,1.202083628538489074e-01,-4.390793533222444450e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.631579000000000002e-01,2.631579000000000002e-01,2.631579000000000002e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
