GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
9.595959699999999870e+00,4.848485000000000156e+00,4.848485000000000156e+00,1.000000000000000000e+00,8.593571428571428195e-01,3.033333333333339613e-02,7.836646066666665433e+01,1.339971915750360343e-01,-7.516844612402398540e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.863353916064657348e-02
1.010100999999999916e+00,5.555555800000000488e-01,5.555555800000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.444444700000000026e+00,2.272727300000000117e+00,2.272727300000000117e+00,3.000000000000000000e+00,3.096585365853658511e-01,5.600004999999988464e-02,7.499532932142855657e+01,7.871964253006813461e-02,-3.198170621677890596e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.131261938912522497e-02
2.222222299999999873e+00,1.161616200000000099e+00,1.161616200000000099e+00,3.000000000000000000e+00,2.523000000000000242e-01,9.466666274509806522e-02,5.361651358039215864e+01,4.531051384366416995e-02,-1.834249210073982464e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.211891348424531334e-02
5.757576000000000249e+00,2.929292900000000088e+00,2.929292900000000088e+00,1.000000000000000000e+00,3.677058823529411602e-01,4.500004285714277741e-02,7.703401479999999424e+01,9.562712006336059056e-02,-4.332870491341961339e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.605577383856673770e-02
3.838383900000000182e+00,1.969697000000000031e+00,1.969697000000000031e+00,3.000000000000000000e+00,2.916136363636363527e-01,6.431111111111109668e-02,7.368015459999999450e+01,7.087593186099104547e-02,-2.626691169322606725e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.494523612594164358e-02
8.181817999999999813e+00,4.141414199999999823e+00,4.141414199999999823e+00,1.000000000000000000e+00,5.425652173913042553e-01,3.454167916666669308e-02,7.905138791666666975e+01,1.243897444246889195e-01,-6.257155466973975122e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.075046845951866725e-02
4.040404000000000218e-01,2.525252399999999842e-01,2.525252399999999842e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.353535199999999605e+00,2.727272699999999883e+00,2.727272699999999883e+00,1.000000000000000000e+00,3.474054054054054319e-01,4.776319473684208922e-02,7.656586368421051247e+01,9.047403426723853170e-02,-3.995311481653252700e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.738459811626503537e-02
1.010101000000000054e-01,1.010101000000000054e-01,1.010101000000000054e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.171717199999999792e+00,3.636363699999999977e+00,3.636363699999999977e+00,1.000000000000000000e+00,4.558214285714285441e-01,3.810345517241391783e-02,7.846741244827586570e+01,1.130256930332975418e-01,-5.468237525112449454e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.256599266955819361e-02
2.020202000000000109e-01,1.515151600000000098e-01,1.515151600000000098e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.818181899999999906e+00,9.595959800000000151e-01,9.595959800000000151e-01,2.000000000000000000e+00,9.689166666666664263e-01,5.227691769230766727e-01,6.079813381538461670e+01,3.772804216334139926e-02,-1.516138294235991335e-02,4.000000000000000000e+00,2.815866830696969636e+00,3.286439426512561268e-01
2.828282800000000208e+00,1.464646499999999962e+00,1.464646499999999962e+00,3.000000000000000000e+00,2.754347826086956941e-01,8.376592765957457942e-02,6.679679715957446717e+01,5.794947358514455221e-02,-2.105926946684556766e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.389661567800104414e-02
8.383838700000000088e+00,4.242423999999999751e+00,4.242423999999999751e+00,1.000000000000000000e+00,5.640909090909090873e-01,3.391300000000029707e-02,7.913760686956520374e+01,1.264682946145088416e-01,-6.414157180863737373e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.042708642556256490e-02
3.636363699999999977e+00,1.868686899999999929e+00,1.868686899999999929e+00,3.000000000000000000e+00,2.870454545454546036e-01,6.793333111111102274e-02,7.305616257333333863e+01,6.826101589047556262e-02,-2.427309434465911575e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.646821013801600231e-02
6.969697000000000031e+00,3.535353399999999979e+00,3.535353399999999979e+00,1.000000000000000000e+00,4.413793103448276911e-01,3.886663999999996622e-02,7.829928223333332937e+01,1.106224476536234597e-01,-5.309582555880179577e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.296489053350723314e-02
3.737373799999999857e+00,1.919192000000000009e+00,1.919192000000000009e+00,3.000000000000000000e+00,2.892499999999999516e-01,6.604444222222209671e-02,7.338857284666666203e+01,6.957365565424340759e-02,-2.527605408241860932e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.567656878829335299e-02
1.212121199999999899e+00,6.565656699999999901e-01,6.565656699999999901e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.616161600000000087e+00,8.585858299999999943e-01,8.585858299999999943e-01,2.000000000000000000e+00,1.389625000000000110e+00,8.803332888888888430e-01,6.058803307777778713e+01,3.372328302860776866e-02,-1.369380939505451464e-02,7.000000000000000000e+00,2.675646156807325760e+00,5.730000410940435662e-01
6.767676800000000270e+00,3.434343300000000099e+00,3.434343300000000099e+00,1.000000000000000000e+00,4.276333333333334208e-01,3.974200322580637851e-02,7.809997035483870320e+01,1.081846715294550176e-01,-5.149626241516262748e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.341499410140622864e-02
8.484847999999999502e+00,4.292929199999999668e+00,4.292929199999999668e+00,1.000000000000000000e+00,5.756818181818182945e-01,3.360866956521730425e-02,7.916796695652173810e+01,1.275183535960647541e-01,-6.493582803743541687e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.027202339096477804e-02
8.585858299999999943e+00,4.343434300000000192e+00,4.343434300000000192e+00,1.000000000000000000e+00,5.879047619047617079e-01,3.327269090909103916e-02,7.919902818181817850e+01,1.285753849658634040e-01,-6.573144926548275813e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.010281419632033856e-02
5.050504799999999683e-01,3.030303100000000249e-01,3.030303100000000249e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.626262699999999839e+00,1.363636400000000082e+00,1.363636400000000082e+00,3.000000000000000000e+00,2.723695652173913628e-01,8.797869148936153516e-02,6.369901393617020346e+01,5.532292445765315397e-02,-2.062819231987553931e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.599096263152838149e-02
6.262626199999999699e+00,3.181818199999999930e+00,3.181818199999999930e+00,1.000000000000000000e+00,3.959687500000000360e-01,4.215151818181816362e-02,7.756960712121211543e+01,1.020053469675230307e-01,-4.743478571162564050e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.464520248834117799e-02
1.313131300000000001e+00,7.070707099999999912e-01,7.070707099999999912e-01,1.000000000000000000e+00,1.469999999999999918e-01,1.044727200000000050e-01,1.705908435272727175e+01,2.003890538248073727e-02,-1.386960398291024049e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.117229004604336773e-02
4.141414199999999823e+00,2.121211999999999875e+00,2.121211999999999875e+00,3.000000000000000000e+00,2.998333333333333406e-01,5.976744651162791550e-02,7.443487431860465620e+01,7.479950698729265213e-02,-2.916977588988917125e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.297485078744560177e-02
8.080807699999999372e+00,4.090908999999999907e+00,4.090908999999999907e+00,1.000000000000000000e+00,5.324347826086955893e-01,3.479177083333338111e-02,7.896347333333334007e+01,1.233741224980619694e-01,-6.179049195081539464e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.089587573790415223e-02
7.878788000000000125e+00,3.989898900000000026e+00,3.989898900000000026e+00,1.000000000000000000e+00,5.134166666666666323e-01,3.544003199999982978e-02,7.884092076000000304e+01,1.211112707798036314e-01,-6.020140513869375043e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.123606866947477800e-02
0.000000000000000000e+00,5.050505000000000272e-02,5.050505000000000272e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
