GK,GCAL,GSK,TYPE,EVENT_SEPARATION,EVENT_DURATION,EVENT_AMPLITUDE,EVENT_DVDT_MAX,EVENT_DVDT_MIN,EVENT_BURSTPEAKS,EVENT_LINELENGTH,EVENT_AREA
5.349122999999999628e+00,2.728499199999999902e+00,4.762912699999999888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.183579700000000123e+00,4.885316399999999781e+00,2.988073199999999874e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.928376199999999763e+00,2.813237899999999847e+00,3.373366799999999888e+00,1.000000000000000000e+00,4.014838709677417961e-01,4.312495937500000764e-02,7.546821207499999673e+01,9.099722814256058778e-02,-4.548694409372833203e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.508463552442087574e-02
5.366750699999999874e+00,8.219432800000000539e-01,4.619191200000000386e+00,3.000000000000000000e+00,4.478571428571429536e-01,1.275172896551723112e-01,3.812436517241378908e+01,1.629473756433624104e-02,-2.372157165015110342e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.343519967787523473e-02
9.545238499999999959e+00,4.908145900000000061e+00,3.997289900000000173e+00,1.000000000000000000e+00,5.491818181818181044e-01,3.234785217391312334e-02,8.090479291304347953e+01,1.436921871521029126e-01,-6.975830268212239449e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.961344972056021721e-02
8.492118800000000078e+00,1.426966200000000073e+00,4.814042599999999617e+00,3.000000000000000000e+00,4.254000000000000559e-01,6.045154516129010863e-02,5.087346903225806471e+01,3.233460363492242362e-02,-4.454292742323742726e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.649375362024184777e-02
1.773150900000000085e-01,3.078671500000000005e+00,2.988797200000000043e+00,3.000000000000000000e+00,1.622166666666666757e+00,3.567141571428568692e-01,9.570741914285713392e+01,9.315796860602618135e-02,-3.484759610979502875e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.628679932334193059e-01
7.540544999999999831e+00,5.025291400000000408e-01,3.838870800000000028e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.897003200000000334e+00,3.961579799999999985e+00,1.268270900000000090e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.303870400000000096e+00,2.351129999999999942e+00,6.209704299999999622e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.058270499999999892e+00,4.483083699999999894e+00,4.273886399999999863e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400188399999999334e+00,2.456922500000000120e+00,1.992642999999999942e+00,1.000000000000000000e+00,2.140166666666666884e-01,3.813117540983590459e-02,7.069668681311475211e+01,8.494482584859017194e-02,-5.119241145375102303e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.170387857117814234e-02
2.914186999999999750e-01,4.377329300000000423e+00,3.306892899999999802e+00,3.000000000000000000e+00,4.701999999999999957e+00,2.488000000000000433e+00,9.509935849999999391e+01,1.252325824709470958e-01,-4.660105087642239796e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.589195815217709029e+00
7.930151900000000253e+00,1.756942699999999968e+00,1.955197499999999922e+00,1.000000000000000000e+00,2.166724137931034522e-01,4.464404406779654000e-02,6.320662586694915319e+01,6.160060814550625402e-02,-4.728759875952526226e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.540639325091900713e-02
2.143602800000000030e+00,3.723965900000000051e+00,4.212591200000000313e+00,3.000000000000000000e+00,9.786153846153844427e-01,9.478577142857146087e-02,8.762050935714285060e+01,1.122243865016489817e-01,-4.151762824471798285e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.224430939239933985e-02
7.913993599999999962e-01,4.591239500000000362e+00,3.555824799999999897e+00,3.000000000000000000e+00,2.169599999999999973e+00,4.566667833333331594e-01,9.397242783333332738e+01,1.321849208112040597e-01,-4.897104804208923801e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.150134347816282987e-01
3.817694700000000108e+00,2.743687400000000221e+00,4.761065999999999576e+00,3.000000000000000000e+00,6.262999999999999678e-01,5.280956666666672406e-02,7.825556461904761818e+01,8.664200715419169418e-02,-3.965439892927450499e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.142871126956296030e-02
5.839331600000000400e+00,4.054642199999999974e+00,2.740879399999999744e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.470203899999999564e+00,3.528986000000000067e-01,2.782775399999999788e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.972530000000000006e-01,3.655736399999999775e-01,3.654726500000000211e+00,2.000000000000000000e+00,1.204099999999999948e+00,5.439092272727275024e-01,6.227941229999998995e+01,1.486437907859715704e-02,-5.229648839759177062e-03,1.000000000000000000e+00,0.000000000000000000e+00,3.160462105222285323e-01
6.788550400000000096e+00,3.838472799999999907e+00,3.259225799999999840e+00,1.000000000000000000e+00,4.342068965517240087e-01,4.073336333333331394e-02,8.028831843333334461e+01,1.196137591138086292e-01,-5.207059755501320525e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.423847226065410296e-02
5.363550799999999841e-01,1.405376200000000075e+00,3.112684699999999971e+00,3.000000000000000000e+00,9.839166666666666616e-01,2.178460999999999037e-01,8.732426176923075900e+01,4.808557923295663644e-02,-1.699311712168398783e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.439954957747781594e-01
2.916580199999999845e+00,3.745672200000000007e+00,9.751310900000000059e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.537055999999999756e+00,5.860245200000000487e-01,1.798944700000000063e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.438570000000000348e+00,3.623043099999999850e+00,6.040586500000000303e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.130213299999999865e+00,1.202956200000000031e+00,9.810418499999999931e-01,3.000000000000000000e+00,2.035967741935484077e-01,7.417465079365077874e-02,6.027217769999999319e+01,5.234923760215290378e-02,-2.460321964820437468e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.944644481166173500e-02
7.185990799999999901e+00,3.816469199999999784e+00,3.038112899999999783e+00,1.000000000000000000e+00,3.905937500000000728e-01,3.957578181818203339e-02,7.983471209090909326e+01,1.194891677048758732e-01,-5.275681221479061600e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.342523804823541667e-02
4.198731199999999886e-01,4.517401200000000117e+00,1.540880400000000039e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.122683999999999571e+00,4.523294899999999785e+00,4.677885100000000129e+00,1.000000000000000000e+00,8.084000000000000075e-01,4.718748125000010729e-02,8.369941543749999369e+01,1.318047280832778667e-01,-5.625428019435964322e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.966232582394237594e-02
7.585847999999999480e-01,3.029101100000000102e+00,2.363383499999999859e+00,3.000000000000000000e+00,2.076000000000000068e+00,6.613331833333335741e-01,9.324928466666665372e+01,9.486302168747244579e-02,-3.172362776901022086e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.484005343072023919e-01
4.927068700000000412e+00,4.246198200000000256e+00,2.755121700000000118e+00,2.000000000000000000e+00,8.026666666666668615e-01,1.103124124999999012e-01,8.550450812500000097e+01,1.305532513155546748e-01,-4.237998435586860790e-02,1.000000000000000000e+00,0.000000000000000000e+00,6.829578365015795405e-02
5.444853799999999744e+00,2.587721800000000183e+00,3.624631200000000275e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.069629700000000128e+00,2.709716100000000072e+00,2.362527599999999950e+00,1.000000000000000000e+00,2.508235294117646674e-01,3.778845192307690726e-02,7.257524007884616424e+01,9.043924593499998166e-02,-5.167038944375054732e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.168548495743494522e-02
8.017325400000000712e+00,2.639308699999999952e+00,3.025575400000000137e+00,1.000000000000000000e+00,3.128536585365853662e-01,3.749999999999995004e-02,7.109684123809523726e+01,8.515534697299607936e-02,-5.336273520506241291e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.174004844548598978e-02
2.488590199999999975e+00,9.305756099999999975e-01,4.953456899999999941e+00,3.000000000000000000e+00,5.164583333333333526e-01,9.464001600000004899e-02,5.772848488000000344e+01,3.109922149901470437e-02,-2.111724418798087421e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.287261654281760065e-02
1.605429599999999901e+00,4.418250099999999847e+00,1.529006199999999982e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
